event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,RX1_gap_before_ms,RX2_gap_before_ms,status
156,10.770092450,10.777376980,10.777382340,7284.530,7289.890,5.360,,,ok
157,10.790153390,10.797440970,10.797439580,7287.580,7286.190,1.390,,,ok
158,10.810084320,10.817373450,10.817374300,7289.130,7289.980,0.850,,,ok
159,10.830120070,10.837407560,10.837406150,7287.490,7286.080,1.410,,,ok
160,10.850052150,10.857341200,10.857340750,7289.050,7288.600,0.450,,,ok
161,10.870492170,10.877779370,10.877778280,7287.200,7286.110,1.090,,,ok
162,10.889964120,10.897251540,10.897252610,7287.420,7288.490,1.070,,,ok
163,10.910253330,10.917538720,10.917540810,7285.390,7287.480,2.090,,,ok
164,10.929837360,10.937109120,10.937124470,7271.760,7287.110,15.350,,,ok
165,10.950119720,10.957406600,10.957407650,7286.880,7287.930,1.050,,,ok
166,10.969508750,10.976794890,10.976795020,7286.140,7286.270,0.130,,,ok
167,10.990206710,10.997493720,10.997491930,7287.010,7285.220,1.790,,,ok
168,11.010043250,11.017339270,11.017332780,7296.020,7289.530,6.490,,,ok
169,11.030114080,11.037400410,11.037400480,7286.330,7286.400,0.070,,,ok
170,11.050240510,11.057527030,11.057529530,7286.520,7289.020,2.500,,,ok
171,11.070099410,11.077387970,11.077387920,7288.560,7288.510,0.050,,,ok
172,11.090088800,11.097434240,11.097338120,7345.440,7249.320,96.120,,,ok
173,11.110093090,11.117379850,11.117379950,7286.760,7286.860,0.100,,,ok
174,11.130213040,11.137501950,11.137503170,7288.910,7290.130,1.220,,,ok
175,11.150084140,11.157371330,11.157371710,7287.190,7287.570,0.380,,,ok
176,11.170016450,11.177302350,11.177302510,7285.900,7286.060,0.160,,,ok
177,11.189863620,11.197153160,11.197152440,7289.540,7288.820,0.720,,,ok
178,11.210294280,,11.217581640,,7287.360,,,,missing_rx1
179,11.230100820,11.237389450,11.237389120,7288.630,7288.300,0.330,40.236,,ok
180,11.249639310,11.256928120,11.256928490,7288.810,7289.180,0.370,,,ok
181,11.270313520,11.277600510,11.277601040,7286.990,7287.520,0.530,,,ok
