event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
130,70.330590200,70.339000940,70.339005160,8410.740,8414.960,4.220,ok
131,70.872766360,70.881146810,70.881149020,8380.450,8382.660,2.210,ok
132,71.414832510,71.423237680,71.423237240,8405.170,8404.730,0.440,ok
133,71.956885210,71.965289010,71.965291100,8403.800,8405.890,2.090,ok
134,72.499006610,72.507415060,72.507414680,8408.450,8408.070,0.380,ok
135,73.041059290,73.049471150,73.049468060,8411.860,8408.770,3.090,ok
136,73.583074250,73.591477120,73.591476410,8402.870,8402.160,0.710,ok
137,74.125141260,74.133614930,74.133550260,8473.670,8409.000,64.670,ok
138,74.667169550,74.675569160,74.675573860,8399.610,8404.310,4.700,ok
139,75.209214180,75.217625750,75.217622540,8411.570,8408.360,3.210,ok
140,75.751273970,75.759686440,75.759686120,8412.470,8412.150,0.320,ok
141,76.293289390,76.301692510,76.301694980,8403.120,8405.590,2.470,ok
142,76.835232770,76.843638460,76.843638520,8405.690,8405.750,0.060,ok
143,77.377299520,77.385704520,77.385759690,8405.000,8460.170,55.170,ok
144,77.919336470,77.927750540,77.927750280,8414.070,8413.810,0.260,ok
145,78.461365300,78.469781480,78.469779330,8416.180,8414.030,2.150,ok
146,79.003438670,79.011817450,79.011817730,8378.780,8379.060,0.280,ok
147,79.545401080,79.553803910,79.553806230,8402.830,8405.150,2.320,ok
148,80.087382390,80.095784410,80.095785110,8402.020,8402.720,0.700,ok
149,80.629462080,80.637876010,80.637872450,8413.930,8410.370,3.560,ok
150,81.171455430,81.179857050,81.179857080,8401.620,8401.650,0.030,ok
151,81.713487190,81.721887890,81.721885750,8400.700,8398.560,2.140,ok
152,82.255511270,82.263924000,82.263924310,8412.730,8413.040,0.310,ok
153,82.797510300,82.805882060,82.805913020,8371.760,8402.720,30.960,ok
154,83.339505080,83.347905710,83.347906380,8400.630,8401.300,0.670,ok
155,83.881575570,83.889981930,83.889980020,8406.360,8404.450,1.910,ok
156,84.423601750,84.432002820,84.432003650,8401.070,8401.900,0.830,ok
157,84.965578280,84.973984010,84.973982420,8405.730,8404.140,1.590,ok
158,85.507717850,85.516125160,85.516125720,8407.310,8407.870,0.560,ok
159,86.049797810,86.058201260,86.058204610,8403.450,8406.800,3.350,ok
160,86.591800960,86.600207180,86.600203040,8406.220,8402.080,4.140,ok
161,87.133921550,87.142332900,87.142331590,8411.350,8410.040,1.310,ok
162,87.675995530,87.684408330,87.684400130,8412.800,8404.600,8.200,ok
163,88.218057640,88.226460340,88.226463890,8402.700,8406.250,3.550,ok
164,88.760185100,88.768596340,88.768597230,8411.240,8412.130,0.890,ok
165,89.302235560,89.310637220,89.310640530,8401.660,8404.970,3.310,ok
166,89.844274920,89.852678020,89.852679110,8403.100,8404.190,1.090,ok
167,90.386311440,90.394724360,90.394722950,8412.920,8411.510,1.410,ok
168,90.928340980,90.936745060,90.936746520,8404.080,8405.540,1.460,ok
169,91.470386220,91.478801460,91.478805360,8415.240,8419.140,3.900,ok
170,92.012525930,92.020932210,92.020928760,8406.280,8402.830,3.450,ok
171,92.554588610,92.562993210,92.562992170,8404.600,8403.560,1.040,ok
172,93.096683960,93.105089660,93.105090820,8405.700,8406.860,1.160,ok
173,93.638803990,93.647281950,93.647223390,8477.960,8419.400,58.560,ok
174,94.180861220,94.189266180,94.189268010,8404.960,8406.790,1.830,ok
175,94.722944980,94.731347220,94.731346680,8402.240,8401.700,0.540,ok
176,95.265046340,95.273458190,95.273460200,8411.850,8413.860,2.010,ok
177,95.807105040,95.815509340,95.815508700,8404.300,8403.660,0.640,ok
178,96.349118070,96.357520250,96.357522110,8402.180,8404.040,1.860,ok
179,96.891251770,96.899630860,96.899630840,8379.090,8379.070,0.020,ok
180,97.433236960,97.441642200,97.441638870,8405.240,8401.910,3.330,ok
181,97.975283150,97.983687720,97.983687870,8404.570,8404.720,0.150,ok
182,98.517352670,98.525754120,98.525753380,8401.450,8400.710,0.740,ok
183,99.059396160,99.067795310,99.067794660,8399.150,8398.500,0.650,ok
184,99.601418810,99.609821070,99.609823340,8402.260,8404.530,2.270,ok
185,100.143517100,100.151916880,100.151975180,8399.780,8458.080,58.300,ok
186,100.685562310,100.693963160,100.693960590,8400.850,8398.280,2.570,ok
187,101.227654680,101.236058910,101.236059070,8404.230,8404.390,0.160,ok
188,101.769794200,101.778200190,101.778197850,8405.990,8403.650,2.340,ok
189,102.311846760,102.320251210,102.320251380,8404.450,8404.620,0.170,ok
