event,T0_tx_rise_s,T1_rx1_rise_s,T2_rx2_rise_s,T1-T0_us,T2-T0_us,T2-T1_us,status
190,102.957463840,102.965828030,102.965827120,8364.190,8363.280,0.910,ok
191,103.499460390,103.507863920,103.507865720,8403.530,8405.330,1.800,ok
192,104.041500580,104.049909900,104.049909240,8409.320,8408.660,0.660,ok
193,104.583633640,104.592016040,104.592012770,8382.400,8379.130,3.270,ok
194,105.125638850,105.134057290,105.134056860,8418.440,8418.010,0.430,ok
195,105.667590060,105.675993340,105.675995250,8403.280,8405.190,1.910,ok
196,106.209670050,106.218074250,106.218073940,8404.200,8403.890,0.310,ok
197,106.751717590,106.760120160,106.760122380,8402.570,8404.790,2.220,ok
198,107.293710980,107.302111620,107.302110810,8400.640,8399.830,0.810,ok
199,107.835758440,107.844172550,107.844169290,8414.110,8410.850,3.260,ok
200,108.377770240,108.386173450,108.386172610,8403.210,8402.370,0.840,ok
201,108.919739130,108.928149410,108.928151560,8410.280,8412.430,2.150,ok
202,109.461823580,109.470235620,109.470235360,8412.040,8411.780,0.260,ok
203,110.003799650,110.012216380,110.012218320,8416.730,8418.670,1.940,ok
204,110.545846780,110.554252500,110.554252290,8405.720,8405.510,0.210,ok
205,111.087967680,111.096378350,111.096380620,8410.670,8412.940,2.270,ok
206,111.630026730,111.638429860,111.638495770,8403.130,8469.040,65.910,ok
207,112.172077510,112.180480810,112.180483210,8403.300,8405.700,2.400,ok
208,112.714135410,112.722516740,112.722516350,8381.330,8380.940,0.390,ok
209,113.256091620,113.264497510,113.264495140,8405.890,8403.520,2.370,ok
210,113.798121920,113.806523960,113.806523260,8402.040,8401.340,0.700,ok
211,114.340225440,114.348630200,114.348632300,8404.760,8406.860,2.100,ok
212,114.882275400,114.890675810,114.890675330,8400.410,8399.930,0.480,ok
213,115.424265720,115.432671730,115.432669280,8406.010,8403.560,2.450,ok
214,115.966317090,115.974722510,115.974722880,8405.420,8405.790,0.370,ok
215,116.508375130,116.516779020,116.516776370,8403.890,8401.240,2.650,ok
216,117.050377230,117.058779840,117.058780040,8402.610,8402.810,0.200,ok
217,117.592468710,117.600870930,117.600873410,8402.220,8404.700,2.480,ok
218,118.134518710,118.142919360,118.142922310,8400.650,8403.600,2.950,ok
219,118.676558470,118.684963010,118.684960570,8404.540,8402.100,2.440,ok
220,119.218617590,119.226998670,119.226999240,8381.080,8381.650,0.570,ok
221,119.760609040,119.769009940,119.769012470,8400.900,8403.430,2.530,ok
222,120.302617090,120.311020960,120.311020950,8403.870,8403.860,0.010,ok
223,120.844694920,120.853072000,120.853075020,8377.080,8380.100,3.020,ok
224,121.386637050,121.395038210,121.395038670,8401.160,8401.620,0.460,ok
225,121.928611730,121.937014380,121.937017020,8402.650,8405.290,2.640,ok
226,122.470709110,122.479115170,122.479110530,8406.060,8401.420,4.640,ok
227,123.012728640,123.021131150,,8402.510,,,missing_rx2
