Time [s],Tx,Rx1,Rx2
56.351996510,0,0,0
56.352261450,0,1,0
56.352275190,0,1,1
56.352280840,0,0,1
56.352294610,0,0,0
56.885813370,1,0,0
56.893935560,0,0,0
56.894218740,0,0,1
56.894219430,0,1,1
56.894238110,0,1,0
56.894238820,0,0,0
57.427867090,1,0,0
57.435998810,0,0,0
57.436277630,0,0,1
57.436280780,0,1,1
57.436297050,0,1,0
57.436300160,0,0,0
57.969839650,1,0,0
57.977958980,0,0,0
57.978241340,0,0,1
57.978241820,0,1,1
57.978260670,0,1,0
57.978261200,0,0,0
58.511883120,1,0,0
58.520003780,0,0,0
58.520284380,0,0,1
58.520287930,0,1,1
58.520303750,0,1,0
58.520307340,0,0,0
59.053968350,1,0,0
59.062098830,0,0,0
59.062379290,0,1,0
59.062398660,0,0,0
59.062408580,0,0,1
59.062427990,0,0,0
59.595977230,1,0,0
59.604099140,0,0,0
59.604380200,0,1,0
59.604382240,0,1,1
59.604399600,0,0,1
59.604401700,0,0,0
60.138010730,1,0,0
60.146139900,0,0,0
60.146407020,0,1,0
60.146420530,0,1,1
60.146426310,0,0,1
60.146439900,0,0,0
60.680112420,1,0,0
60.688242710,0,0,0
60.688522580,0,1,0
60.688524460,0,1,1
60.688542000,0,0,1
60.688610020,0,0,0
61.222083570,1,0,0
61.230204870,0,0,0
61.230488080,0,0,1
61.230488500,0,1,1
61.230507430,0,1,0
61.230507870,0,0,0
61.764082670,1,0,0
61.772210640,0,0,0
61.772494770,0,1,0
61.772496900,0,1,1
61.772514270,0,0,1
61.772516300,0,0,0
62.306185730,1,0,0
62.314330270,0,0,0
62.314611060,0,1,0
62.314615580,0,1,1
62.314630470,0,0,1
62.314635000,0,0,0
62.848210100,1,0,0
62.856332720,0,0,0
62.856612240,0,1,0
62.856613180,0,1,1
62.856631650,0,0,1
62.856632590,0,0,0
63.390207220,1,0,0
63.398329030,0,0,0
63.398612980,0,0,1
63.398613470,0,1,1
63.398632360,0,1,0
63.398632840,0,0,0
63.932239980,1,0,0
63.940370730,0,0,0
